Sensor,SRI,SRI_Band
LNGMEGIA.CT_TOTALVOL_Meas1_PRIM,70139.96653155054,bad
LNGMEGIA.CT031.13_Meas1_PRIM,19184.06164604427,bad
LNGMEGIA.CT033.13_Meas1_PRIM,18870.5496917018,bad
LNGMEGIA.CT032.13_Meas1_PRIM,17625.431400729565,bad
LNGMEGIA.CT030.13_Meas1_PRIM,9851.302705843718,bad
LNGMEGIA.CT053.01_Meas1_PRIM,94.94164445509288,bad
LNGMEGIA.CT054.01_Meas1_PRIM,93.87636741799024,bad
LNGMEGIA.CT056.01_Meas1_PRIM,93.50197659688388,bad
LNGMEGIA.CT005.01_Meas1_PRIM,53.39010917473306,bad
LNGMEGIA.CT006.01_Meas1_PRIM,53.30533953076398,bad
LNGMEGIA.CT007.01_Meas1_PRIM,53.25189733633597,bad
LNGMEGIA.CT004.01_Meas1_PRIM,52.893703030427645,bad
LNGMEGIA.CT003.01_Meas1_PRIM,52.38980384978457,bad
LNGMEGIA.CT002.01_Meas1_PRIM,51.827640081657854,bad
LNGMEGIA.CT053.02_Meas1_PRIM,50.14582406898867,bad
LNGMEGIA.CT025.01_Meas1_PRIM,42.75705297513949,moderate
LNGMEGIA.CT024.01_Meas1_PRIM,42.46574227860789,moderate
LNGMEGIA.CT023.01_Meas1_PRIM,42.232954209613474,moderate
LNGMEGIA.CT022.01_Meas1_PRIM,41.66723502908919,moderate
LNGMEGIA.CT013.01_Meas1_PRIM,41.45042714244348,moderate
LNGMEGIA.CT021.01_Meas1_PRIM,41.323645728893545,moderate
LNGMEGIA.CT012.01_Meas1_PRIM,40.81337395136193,moderate
LNGMEGIA.CT011.01_Meas1_PRIM,40.77174088405839,moderate
LNGMEGIA.CT020.01_Meas1_PRIM,40.713482344474265,moderate
LNGMEGIA.CT010.01_Meas1_PRIM,40.309280607422096,moderate
LNGMEGIA.CT009.01_Meas1_PRIM,40.134164972068405,moderate
LNGMEGIA.CT008.01_Meas1_PRIM,39.80019820955934,moderate
LNGMEGIA.CT056.02_Meas1_PRIM,38.76905884373264,moderate
LNGMEGIA.CT054.02_Meas1_PRIM,37.56613877298035,moderate
LNGMEGIA.CT030.12_Meas1_PRIM,11.972400499787724,moderate
LNGMEGIA.CT033.12_Meas1_PRIM,10.550306398762627,good
LNGMEGIA.CT031.12_Meas1_PRIM,10.355947627325978,good
LNGMEGIA.CT019.01_Meas1_PRIM,10.152871583944044,good
LNGMEGIA.CT032.12_Meas1_PRIM,9.402062889479732,good
LNGMEGIA.CT018.01_Meas1_PRIM,7.716879944192175,good
LNGMEGIA.CT017.01_Meas1_PRIM,6.152185735099737,good
LNGMEGIA.CT016.01_Meas1_PRIM,3.712906811742987,good
LNGMEGIA.CT055.02_Meas1_PRIM,3.596502884015883,good
LNGMEGIA.CT028_Meas1_PRIM,1.0892811643346811,good
LNGMEGIA.CT027_Meas1_PRIM,1.0483497941201525,good
LNGMEGIA.CT029_Meas1_PRIM,0.9793588871495538,good
LNGMEGIA.CT026_Meas1_PRIM,0.960504411213024,good
LNGMEGIA.CT015.01_Meas1_PRIM,0.3397286939745267,good
LNGMEGIA.CT014.01_Meas1_PRIM,0.0027083214378241,good
LNGMEGIA.CT055.01_Meas1_PRIM,0.0026162357294489,good
