Sensor,Status,Mean,Variance,Last_Timestamp
LNGMEGIA.CT007.01_Meas1_PRIM,alive,-87.261973666972,4646.865663132898,2025-10-05 23:59:00+00:00
LNGMEGIA.CT026_Meas1_PRIM,alive,1145.1924891615026,1099.9624375286069,2025-10-05 23:59:00+00:00
LNGMEGIA.CT021.01_Meas1_PRIM,alive,-111.17599960566054,4594.197621301249,2025-10-05 23:54:00+00:00
LNGMEGIA.CT056.01_Meas1_PRIM,alive,-263.28391193574845,24617.56617224589,2025-10-05 23:54:00+00:00
LNGMEGIA.CT030.12_Meas1_PRIM,alive,12.208001553933634,146.15908391769673,2025-10-05 23:59:00+00:00
LNGMEGIA.CT012.01_Meas1_PRIM,alive,-107.97513247350257,4406.829459129717,2025-10-05 23:59:00+00:00
LNGMEGIA.CT015.01_Meas1_PRIM,alive,-155.3909876586484,52.790777293024156,2025-10-05 23:51:00+00:00
LNGMEGIA.CT032.13_Meas1_PRIM,alive,28395.863489390897,500489343.99675816,2025-10-05 23:59:00+00:00
LNGMEGIA.CT028_Meas1_PRIM,alive,1148.2498761625632,1250.7669620545996,2025-10-05 23:59:00+00:00
LNGMEGIA.CT008.01_Meas1_PRIM,alive,-115.29570224433978,4588.791802074859,2025-10-05 23:57:00+00:00
LNGMEGIA.CT056.02_Meas1_PRIM,alive,-99.68537501689674,3864.7081699283945,2025-10-05 23:59:00+00:00
LNGMEGIA.CT005.01_Meas1_PRIM,alive,-100.8665486500197,5385.276044556465,2025-10-05 23:56:00+00:00
LNGMEGIA.CT_TOTALVOL_Meas1_PRIM,alive,87131.1768483741,6111377827.999641,2025-10-05 23:59:00+00:00
LNGMEGIA.CT053.02_Meas1_PRIM,alive,-93.87489730669151,4707.4340848858765,2025-10-05 23:59:00+00:00
LNGMEGIA.CT054.01_Meas1_PRIM,alive,-265.52841037947667,24926.842612792523,2025-10-05 23:52:00+00:00
LNGMEGIA.CT023.01_Meas1_PRIM,alive,-109.19357066007834,4611.567069713515,2025-10-05 23:54:00+00:00
LNGMEGIA.CT018.01_Meas1_PRIM,alive,-132.1554011243712,1019.8273644610489,2025-10-05 23:59:00+00:00
LNGMEGIA.CT029_Meas1_PRIM,alive,1150.1195172822763,1126.3797705355314,2025-10-05 23:59:00+00:00
LNGMEGIA.CT010.01_Meas1_PRIM,alive,-111.50190725636065,4494.561667899705,2025-10-05 23:59:00+00:00
LNGMEGIA.CT032.12_Meas1_PRIM,alive,15.36534200451477,144.46591185421454,2025-10-05 23:59:00+00:00
LNGMEGIA.CT030.13_Meas1_PRIM,alive,12765.988929318706,125761621.28217818,2025-10-05 23:59:00+00:00
LNGMEGIA.CT017.01_Meas1_PRIM,alive,-136.98915690524518,842.7827369819412,2025-10-05 23:57:00+00:00
LNGMEGIA.CT024.01_Meas1_PRIM,alive,-106.85888162808517,4537.8417274409985,2025-10-05 23:57:00+00:00
LNGMEGIA.CT053.01_Meas1_PRIM,alive,-279.5684851556846,26542.691718594855,2025-10-05 23:56:00+00:00
LNGMEGIA.CT027_Meas1_PRIM,alive,1143.7383227094858,1199.0378351408663,2025-10-05 23:59:00+00:00
LNGMEGIA.CT054.02_Meas1_PRIM,alive,-100.96506994520256,3792.8678288227134,2025-10-05 23:59:00+00:00
LNGMEGIA.CT002.01_Meas1_PRIM,alive,-105.88700980300148,5487.873833444765,2025-10-05 23:58:00+00:00
LNGMEGIA.CT055.02_Meas1_PRIM,alive,-129.3985133102795,465.3821263113843,2025-10-05 23:59:00+00:00
LNGMEGIA.CT003.01_Meas1_PRIM,alive,-102.54140237549622,5372.12395698647,2025-10-05 23:56:00+00:00
LNGMEGIA.CT025.01_Meas1_PRIM,alive,-91.15462594411005,3897.503170464095,2025-10-05 23:59:00+00:00
LNGMEGIA.CT031.13_Meas1_PRIM,alive,27955.614335196813,536302228.7594737,2025-10-05 23:59:00+00:00
LNGMEGIA.CT016.01_Meas1_PRIM,alive,-143.10831182625566,531.3478258004569,2025-10-05 23:57:00+00:00
LNGMEGIA.CT011.01_Meas1_PRIM,alive,-110.64531820516493,4511.202243935944,2025-10-05 23:50:00+00:00
LNGMEGIA.CT033.12_Meas1_PRIM,alive,14.906774903261644,157.2710426573458,2025-10-05 23:59:00+00:00
LNGMEGIA.CT019.01_Meas1_PRIM,alive,-113.37961191481035,1151.1286400186343,2025-10-05 23:59:00+00:00
LNGMEGIA.CT055.01_Meas1_PRIM,alive,-159.4868775890244,0.4172552675292736,2025-10-05 23:57:00+00:00
LNGMEGIA.CT022.01_Meas1_PRIM,alive,-110.11582261501434,4588.221861362965,2025-10-05 23:57:00+00:00
LNGMEGIA.CT004.01_Meas1_PRIM,alive,-101.63801666211346,5376.01106998038,2025-10-05 23:56:00+00:00
LNGMEGIA.CT009.01_Meas1_PRIM,alive,-112.20814936489533,4503.3803778613365,2025-10-05 23:35:00+00:00
LNGMEGIA.CT014.01_Meas1_PRIM,alive,-159.47770755145072,0.4319168942193605,2025-10-05 23:51:00+00:00
LNGMEGIA.CT033.13_Meas1_PRIM,alive,26730.43136963377,504417933.44131756,2025-10-05 23:59:00+00:00
LNGMEGIA.CT031.12_Meas1_PRIM,alive,15.045173794085725,155.807031865925,2025-10-05 23:59:00+00:00
LNGMEGIA.CT013.01_Meas1_PRIM,alive,-92.31045095928155,3826.3076220152525,2025-10-05 23:59:00+00:00
LNGMEGIA.CT020.01_Meas1_PRIM,alive,-115.26343151074397,4692.775683816907,2025-10-05 23:28:00+00:00
LNGMEGIA.CT006.01_Meas1_PRIM,alive,-98.37405900516735,5243.862616343161,2025-10-05 23:58:00+00:00
