Name,Tag,Subsystem
Cargo_CT1_Volume_m3,LNGMEGIA.CT030.13/Meas1/PRIM,Volume
Cargo_CT2_Volume_m3,LNGMEGIA.CT031.13/Meas1/PRIM,Volume
Cargo_CT3_Volume_m3,LNGMEGIA.CT032.13/Meas1/PRIM,Volume
Cargo_CT4_Volume_m3,LNGMEGIA.CT033.13/Meas1/PRIM,Volume
Cargo_CT_Volume_m3,LNGMEGIA.CT_TOTALVOL/Meas1/PRIM,Volume
Cargo_CT1_Level_Corrected_m,LNGMEGIA.CT030.12/Meas1/PRIM,Level
Cargo_CT2_Level_Corrected_m,LNGMEGIA.CT031.12/Meas1/PRIM,Level
Cargo_CT3_Level_Corrected_m,LNGMEGIA.CT032.12/Meas1/PRIM,Level
Cargo_CT4_Level_Corrected_m,LNGMEGIA.CT032.12/Meas1/PRIM,Level
Cargo_CT1_Liquid_Temp_degC,LNGMEGIA.CT053.01/Meas1/PRIM,Liquid_Temperature
Cargo_CT2_Liquid_Temp_degC,LNGMEGIA.CT054.01/Meas1/PRIM,Liquid_Temperature
Cargo_CT3_Liquid_Temp_degC,LNGMEGIA.CT055.01/Meas1/PRIM,Liquid_Temperature
Cargo_CT4_Liquid_Temp_degC,LNGMEGIA.CT056.01/Meas1/PRIM,Liquid_Temperature
Cargo_CT1_Pressure_mbarA,LNGMEGIA.CT026/Meas1/PRIM,Pressure
Cargo_CT2_Pressure_mbarA,LNGMEGIA.CT027/Meas1/PRIM,Pressure
Cargo_CT3_Pressure_mbarA,LNGMEGIA.CT028/Meas1/PRIM,Pressure
Cargo_CT4_Pressure_mbarA,LNGMEGIA.CT029/Meas1/PRIM,Pressure
Cargo_CT1_Vapour_Temp_degC,LNGMEGIA.CT053.02/Meas1/PRIM,Vapour_Temperature
Cargo_CT2_Vapour_Temp_degC,LNGMEGIA.CT054.02/Meas1/PRIM,Vapour_Temperature
Cargo_CT3_Vapour_Temp_degC,LNGMEGIA.CT055.02/Meas1/PRIM,Vapour_Temperature
Cargo_CT4_Vapour_Temp_degC,LNGMEGIA.CT056.02/Meas1/PRIM,Vapour_Temperature
Cargo_CT1_Bottom_Temp_degC,LNGMEGIA.CT002.01/Meas1/PRIM,Cargo_1
Cargo_CT1_High_Temp_degC,LNGMEGIA.CT005.01/Meas1/PRIM,Cargo_1
Cargo_CT1_HighHigh_Temp_degC,LNGMEGIA.CT006.01/Meas1/PRIM,Cargo_1
Cargo_CT1_Low_Temp_degC,LNGMEGIA.CT003.01/Meas1/PRIM,Cargo_1
Cargo_CT1_Middle_Temp_degC,LNGMEGIA.CT004.01/Meas1/PRIM,Cargo_1
Cargo_CT1_Top_Temp_degC,LNGMEGIA.CT007.01/Meas1/PRIM,Cargo_1
Cargo_CT2_Bottom_Temp_degC,LNGMEGIA.CT008.01/Meas1/PRIM,Cargo_2
Cargo_CT2_High_Temp_degC,LNGMEGIA.CT011.01/Meas1/PRIM,Cargo_2
Cargo_CT2_HighHigh_Temp_degC,LNGMEGIA.CT012.01/Meas1/PRIM,Cargo_2
Cargo_CT2_Low_Temp_degC,LNGMEGIA.CT009.01/Meas1/PRIM,Cargo_2
Cargo_CT2_Middle_Temp_degC,LNGMEGIA.CT010.01/Meas1/PRIM,Cargo_2
Cargo_CT2_Top_Temp_degC,LNGMEGIA.CT013.01/Meas1/PRIM,Cargo_2
Cargo_CT3_Bottom_Temp_degC,LNGMEGIA.CT014.01/Meas1/PRIM,Cargo_3
Cargo_CT3_High_Temp_degC,LNGMEGIA.CT017.01/Meas1/PRIM,Cargo_3
Cargo_CT3_HighHigh_Temp_degC,LNGMEGIA.CT018.01/Meas1/PRIM,Cargo_3
Cargo_CT3_Low_Temp_degC,LNGMEGIA.CT015.01/Meas1/PRIM,Cargo_3
Cargo_CT3_Middle_Temp_degC,LNGMEGIA.CT016.01/Meas1/PRIM,Cargo_3
Cargo_CT3_Top_Temp_degC,LNGMEGIA.CT019.01/Meas1/PRIM,Cargo_3
Cargo_CT4_Bottom_Temp_degC,LNGMEGIA.CT020.01/Meas1/PRIM,Cargo_4
Cargo_CT4_High_Temp_degC,LNGMEGIA.CT023.01/Meas1/PRIM,Cargo_4
Cargo_CT4_HighHigh_Temp_degC,LNGMEGIA.CT024.01/Meas1/PRIM,Cargo_4
Cargo_CT4_Low_Temp_degC,LNGMEGIA.CT021.01/Meas1/PRIM,Cargo_4
Cargo_CT4_Middle_Temp_degC,LNGMEGIA.CT022.01/Meas1/PRIM,Cargo_4
Cargo_CT4_Top_Temp_degC,LNGMEGIA.CT025.01/Meas1/PRIM,Cargo_4
